nce  5.70288881431280e+00
nco  9.60678552750014e+00
nde  5.46305701150636e+00
nes  1.55930667438235e+00
net  1.12567916953972e+00
nne  1.57672049657289e+00
nou  6.42322537875455e+00
nse  1.33654857804202e+00
nsl  3.66914235104805e+00
nta  3.93069050031047e+00
ntd  9.63159254383982e+00
nte  3.81419446766371e+00
nti  3.08904853210028e+00
ntl  3.85148171348438e+00
ntr  3.61620948636312e+00
nts  4.12838454234542e+00
oir  5.44766590858580e+00
ois  3.59505434349635e+00
omm  4.17501495568194e+01
onc  9.22856562484266e+00
ond  1.44383585706495e+01
onn  6.36841148167632e+00
ons  9.07130552539800e+00
ont  7.93048548137589e+00
ort  5.11173469988077e+00
our  1.64151571135716e+01
ous  1.11580274908947e+01
out  7.55458167048571e+00
ouv  2.70537698805417e+01
par  2.02068372551898e+01
pas  1.19617837084592e+01
per  4.10410498450921e+00
plu  1.27627699182649e+01
pou  2.20395679890456e+01
pre  6.15615747676381e+00
pro  1.26224821051230e+01
qua  2.18372757972827e+01
que  5.12833975676822e+01
qui  6.08643736198894e+01
rai  5.08417124599635e+00
ran  3.79083137133063e+00
rde  3.36827081447601e+00
rea  1.29474632143472e+00
rec  4.05745339309226e+00
red  3.31909897776833e+00
ree  6.46887903087813e-01
rel  2.12956712676454e+00
rem  3.16955498208444e+00
ren  2.26511554739257e+00
rep  3.51336260037531e+00
res  4.66092566426768e+00
ret  1.69902876723039e+00
rie  1.81295113960543e+00
rle  2.42065903617840e+00
sai  2.72930573609976e+00
san  3.05557012138884e+00
sco  7.63325932425556e+00
sde  6.64803959054714e+00
sen  1.94671205932207e+00
ser  1.72708884471677e+00
ses  1.76976003323762e+00
set  1.82813343609509e+00
sil  3.16162456690526e+00
sla  2.69084952210324e+00
sle  2.77804723599254e+00
son  7.58522134376284e+00
sou  4.57479127126685e+00
spa  5.51282205694207e+00
squ  3.22158236412797e+01
ssa  2.90745707710921e+00
sse  2.43011825459493e+00
ssi  2.69264905082916e+00
ste  1.23200296780321e+00
sur  4.81233496838987e+00
tai  5.36115081849801e+00
tan  2.73539280430962e+00
tce  2.54889278546737e+00
tde  6.68542547152950e+00
ted  2.29466748857778e+00
tel  1.62240221039511e+00
tem  2.98252991773747e+00
ten  2.61201283029120e+00
ter  2.81089318107969e+00
tes  1.67910081902212e+00
tet  1.54718019815734e+00
til  3.31281632247741e+00
tio  9.15367034410123e+00
tle  2.62609171343615e+00
tou  8.89761841190539e+00
tpa  7.45321369609360e+00
tqu  2.41098019525465e+01
tra  3.33703589831293e+00
tre  5.09708630169118e+00
tro  5.15167012722358e+00
tte  1.70414050811533e+00
tun  3.06486588718165e+00
uel  3.57444885825224e+00
ues  1.80343858914065e+00
uil  5.78196298958782e+00
ule  1.89993227600795e+00
une  3.63475662016787e+00
ure  2.50171323124674e+00
url  5.15574999917844e+00
urs  4.34662513273924e+00
use  1.39621052062502e+00
ute  1.58864468294128e+00
uve  6.37715117883352e+00
vai  1.79158656663215e+01
ver  7.14552101274845e+00
voi  1.76283187794918e+01
vou  2.70537698805417e+01
